weather,visibility,road_type,lighting,traffic_density,speed_limit,time_of_day,accident_risk
Clear,6.448,Rural,Daylight,High,60,Morning,Medium
Clear,4.796,Rural,Daylight,High,40,Evening,Medium
Rain,7.891,Urban,Daylight,High,50,Night,Medium
Drizzle,5.112,Urban,Daylight,Medium,80,Afternoon,Medium
Rain,6.32,Highway,Daylight,High,50,Evening,High
Rain,2.127,Highway,Daylight,High,80,Night,High
Fog,5.382,Intersection,Dawn/Dusk,Medium,60,Afternoon,High
Fog,0.713,Rural,Daylight,High,100,Afternoon,High
Clear,3.046,Intersection,Daylight,High,30,Afternoon,Medium
Clear,6.647,Rural,Daylight,Medium,40,Afternoon,Low
Drizzle,5.102,Intersection,Night-unlit,Medium,50,Evening,High
Clear,8.341,Urban,Night-lit,Medium,50,Afternoon,Medium
Storm,8.652,Rural,Daylight,Medium,60,Afternoon,Medium
Rain,3.013,Urban,Night-lit,High,30,Evening,High
Drizzle,2.873,Intersection,Night-lit,Medium,50,Morning,High
Rain,8.53,Rural,Dawn/Dusk,Medium,60,Afternoon,Medium
Drizzle,3.943,Highway,Dawn/Dusk,Medium,40,Night,Medium
Rain,6.433,Urban,Night-lit,High,50,Afternoon,Medium
Rain,2.715,Urban,Night-unlit,Low,100,Morning,High
Rain,8.34,Urban,Night-lit,Medium,30,Morning,Medium
Clear,8.069,Urban,Dawn/Dusk,Low,50,Morning,Medium
Clear,5.462,Urban,Daylight,Medium,60,Night,Medium
Fog,3.871,Urban,Daylight,Medium,60,Night,High
Drizzle,4.086,Rural,Night-unlit,Medium,80,Evening,High
Drizzle,3.747,Intersection,Night-lit,High,80,Evening,High
Clear,4.964,Intersection,Daylight,High,40,Morning,Medium
Rain,6.192,Highway,Night-lit,Very High,40,Morning,High
Clear,8.6,Rural,Daylight,Low,50,Afternoon,Low
Drizzle,6.883,Highway,Dawn/Dusk,Medium,40,Evening,Medium
Rain,3.066,Highway,Night-unlit,High,50,Evening,High
Drizzle,7.428,Urban,Night-lit,High,50,Evening,Medium
Drizzle,10.0,Urban,Night-unlit,Medium,50,Evening,Medium
Clear,4.102,Urban,Dawn/Dusk,Very High,100,Night,High
Rain,0.633,Urban,Dawn/Dusk,Medium,100,Afternoon,High
Clear,7.063,Intersection,Night-lit,Medium,40,Afternoon,Medium
Fog,2.596,Rural,Night-lit,High,60,Evening,High
Drizzle,7.995,Rural,Night-unlit,Very High,30,Night,High
Drizzle,6.192,Rural,Daylight,High,50,Morning,Medium
Rain,4.857,Rural,Night-lit,Medium,60,Night,Medium
Clear,5.307,Intersection,Daylight,Medium,50,Afternoon,Medium
Clear,3.126,Urban,Night-lit,Very High,40,Evening,High
Drizzle,5.483,Rural,Night-lit,Medium,80,Morning,Medium
Drizzle,6.23,Urban,Dawn/Dusk,Low,60,Evening,Medium
Rain,4.525,Urban,Dawn/Dusk,Very High,50,Morning,High
Drizzle,3.337,Highway,Night-lit,Low,60,Evening,Low
Rain,10.0,Rural,Night-lit,Medium,80,Night,High
Clear,7.484,Rural,Night-lit,Low,50,Afternoon,Medium
Clear,6.532,Rural,Daylight,High,40,Afternoon,Low
Clear,6.846,Urban,Night-lit,Very High,100,Evening,High
Rain,2.94,Urban,Night-lit,High,80,Morning,High
Clear,2.23,Highway,Daylight,Medium,60,Evening,Medium
Fog,5.945,Highway,Daylight,Very High,80,Evening,High
Storm,6.238,Urban,Night-lit,High,50,Night,High
Rain,5.767,Highway,Daylight,Medium,40,Evening,Medium
Clear,5.789,Rural,Dawn/Dusk,Very High,40,Evening,Low
Fog,5.941,Highway,Night-unlit,Low,50,Night,High
Clear,0.898,Urban,Night-lit,Medium,40,Night,High
Rain,4.897,Highway,Night-lit,Low,60,Night,Medium
Clear,4.631,Rural,Night-unlit,Medium,30,Evening,Medium
Rain,5.878,Highway,Daylight,Medium,100,Evening,High
Drizzle,5.131,Highway,Night-unlit,High,80,Morning,High
Clear,6.083,Highway,Dawn/Dusk,High,60,Morning,Medium
Rain,5.994,Highway,Daylight,High,30,Afternoon,Medium
Fog,3.336,Intersection,Daylight,High,40,Morning,High
Clear,4.643,Highway,Dawn/Dusk,Low,60,Evening,Medium
Drizzle,6.924,Intersection,Daylight,Medium,100,Morning,Medium
Drizzle,0.4,Urban,Daylight,Very High,40,Evening,High
Fog,4.656,Rural,Daylight,Medium,80,Night,High
Drizzle,8.407,Urban,Dawn/Dusk,High,50,Evening,Medium
Rain,7.037,Highway,Daylight,Very High,40,Evening,High
Clear,5.7,Intersection,Daylight,Low,50,Night,Medium
Drizzle,7.502,Intersection,Night-lit,Low,80,Afternoon,Medium
Drizzle,7.275,Urban,Daylight,Medium,60,Afternoon,Medium
Clear,7.395,Urban,Dawn/Dusk,Medium,80,Afternoon,Medium
Clear,3.771,Urban,Night-lit,High,100,Afternoon,High
Rain,3.9,Urban,Night-unlit,High,80,Afternoon,High
Clear,3.632,Rural,Dawn/Dusk,Medium,50,Night,Medium
Drizzle,4.595,Intersection,Daylight,Medium,40,Afternoon,Medium
Drizzle,1.107,Rural,Daylight,Medium,30,Morning,Medium
Rain,6.881,Highway,Night-unlit,Low,100,Afternoon,High
Drizzle,3.174,Rural,Night-lit,High,50,Afternoon,Medium
Drizzle,4.78,Rural,Night-lit,Medium,80,Afternoon,Low
Fog,5.632,Highway,Night-lit,Medium,100,Morning,High
Rain,4.101,Highway,Night-unlit,Medium,50,Night,High
Rain,2.748,Urban,Night-unlit,High,30,Evening,High
Clear,2.452,Urban,Night-lit,Medium,60,Night,High
Clear,8.368,Urban,Dawn/Dusk,Low,100,Morning,Medium
Clear,6.36,Urban,Night-lit,Very High,80,Evening,High
Clear,2.007,Highway,Night-unlit,Medium,50,Morning,High
Clear,8.571,Highway,Daylight,Medium,30,Afternoon,Low
Clear,6.523,Intersection,Daylight,Medium,60,Night,Medium
Rain,3.264,Urban,Daylight,High,60,Night,High
Drizzle,8.399,Urban,Night-lit,High,50,Afternoon,Medium
Drizzle,2.5,Highway,Daylight,Low,60,Evening,Medium
Drizzle,4.988,Highway,Daylight,Medium,60,Morning,Medium
Rain,6.05,Urban,Dawn/Dusk,Medium,50,Morning,Medium
Rain,4.664,Urban,Daylight,High,30,Night,Medium
Drizzle,6.721,Rural,Daylight,Low,100,Evening,Medium
Drizzle,4.552,Urban,Dawn/Dusk,Very High,100,Morning,High
Rain,9.36,Intersection,Night-unlit,High,60,Afternoon,High
Rain,7.349,Highway,Daylight,High,30,Evening,Medium
Drizzle,5.569,Intersection,Daylight,Low,100,Morning,Medium
Clear,5.927,Highway,Dawn/Dusk,Very High,50,Morning,Medium
Clear,5.388,Urban,Night-lit,Very High,60,Evening,High
Drizzle,6.622,Rural,Dawn/Dusk,Medium,80,Night,Medium
Rain,7.382,Urban,Dawn/Dusk,Low,80,Evening,High
Clear,4.155,Rural,Dawn/Dusk,High,80,Morning,Medium
Clear,4.196,Rural,Daylight,High,30,Night,Medium
Clear,6.574,Highway,Daylight,Low,60,Afternoon,Low
Clear,3.38,Highway,Daylight,High,100,Evening,High
Rain,6.086,Urban,Dawn/Dusk,High,40,Afternoon,Medium
Fog,2.625,Urban,Daylight,Medium,50,Night,High
Clear,3.615,Highway,Night-unlit,High,80,Evening,High
Rain,6.854,Urban,Daylight,Medium,60,Morning,Medium
Drizzle,6.475,Urban,Night-lit,Very High,40,Afternoon,Medium
Drizzle,4.922,Highway,Dawn/Dusk,Medium,50,Evening,Medium
Clear,5.969,Urban,Night-lit,High,50,Morning,Medium
Fog,4.876,Highway,Night-lit,Medium,40,Night,High
Drizzle,7.924,Rural,Dawn/Dusk,Very High,30,Morning,Medium
Clear,4.817,Urban,Daylight,Medium,30,Morning,Low
Storm,5.273,Highway,Night-unlit,Very High,80,Evening,High
Clear,7.238,Urban,Daylight,Very High,30,Night,Medium
Drizzle,4.23,Urban,Night-unlit,Low,100,Evening,High
Clear,3.375,Urban,Night-lit,Very High,50,Night,High
Storm,7.264,Intersection,Daylight,Medium,80,Night,High
Drizzle,4.001,Rural,Dawn/Dusk,High,40,Morning,Medium
Fog,7.225,Highway,Daylight,Medium,30,Afternoon,Medium
Clear,3.06,Urban,Night-lit,Medium,80,Night,High
Rain,6.144,Rural,Night-unlit,Very High,60,Afternoon,Medium
Clear,5.416,Intersection,Night-lit,Very High,100,Evening,High
Rain,7.01,Intersection,Dawn/Dusk,Medium,50,Morning,Medium
Rain,9.347,Highway,Daylight,Medium,100,Evening,High
Rain,5.126,Urban,Night-unlit,Medium,60,Morning,High
Clear,8.046,Rural,Night-unlit,Medium,80,Afternoon,Medium
Drizzle,4.703,Rural,Daylight,Very High,80,Afternoon,Medium
Clear,7.924,Highway,Night-lit,Medium,50,Afternoon,Medium
Drizzle,6.25,Highway,Night-lit,High,60,Night,High
Rain,5.981,Highway,Night-unlit,Medium,80,Afternoon,High
Drizzle,7.726,Urban,Daylight,High,60,Evening,Medium
Drizzle,4.53,Rural,Night-lit,Low,50,Night,Medium
Storm,6.737,Urban,Night-lit,Medium,60,Evening,High
Clear,7.843,Urban,Daylight,Low,80,Afternoon,Medium
Drizzle,3.926,Intersection,Daylight,Medium,60,Evening,Medium
Drizzle,7.977,Urban,Night-unlit,Medium,50,Night,High
Clear,4.416,Intersection,Night-unlit,Low,40,Afternoon,Medium
Rain,2.264,Urban,Daylight,High,50,Evening,High
Clear,5.876,Rural,Daylight,Medium,60,Morning,Low
Storm,7.746,Intersection,Daylight,High,60,Night,High
Rain,3.246,Urban,Night-lit,High,30,Afternoon,Medium
Clear,4.459,Highway,Daylight,Very High,40,Evening,Medium
Clear,7.755,Urban,Night-lit,High,60,Evening,Medium
Clear,6.606,Highway,Dawn/Dusk,Low,60,Morning,Medium
Storm,2.608,Urban,Daylight,High,50,Morning,High
Clear,3.472,Urban,Daylight,High,30,Morning,Medium
Drizzle,1.07,Highway,Night-lit,Medium,30,Evening,High
Rain,4.678,Intersection,Dawn/Dusk,Low,60,Morning,Medium
Rain,4.912,Urban,Daylight,High,50,Morning,Medium
Clear,3.88,Urban,Night-unlit,Low,40,Afternoon,Low
Drizzle,3.997,Rural,Daylight,Very High,50,Afternoon,Medium
Clear,6.495,Urban,Daylight,High,60,Night,Medium
Drizzle,4.239,Urban,Daylight,Low,100,Morning,Medium
Drizzle,4.537,Rural,Dawn/Dusk,Medium,100,Afternoon,Medium
Drizzle,3.801,Intersection,Dawn/Dusk,Medium,50,Evening,Medium
Clear,3.655,Intersection,Daylight,Medium,50,Evening,Medium
Clear,8.453,Urban,Dawn/Dusk,High,40,Night,Medium
Clear,7.742,Intersection,Night-unlit,Low,60,Evening,Medium
Storm,4.295,Rural,Daylight,High,30,Evening,Medium
Drizzle,6.047,Highway,Daylight,Medium,50,Morning,Low
Storm,3.263,Highway,Daylight,Very High,100,Evening,High
Clear,3.246,Urban,Night-lit,Medium,80,Morning,Medium
Drizzle,7.545,Urban,Night-lit,High,60,Afternoon,Medium
Clear,4.665,Rural,Daylight,High,60,Night,Medium
Clear,3.883,Rural,Daylight,Medium,60,Evening,Medium
Rain,4.858,Urban,Dawn/Dusk,Low,100,Afternoon,Medium
Rain,6.204,Urban,Daylight,High,60,Night,High
Rain,2.922,Rural,Night-lit,Medium,40,Morning,Medium
Clear,7.898,Rural,Daylight,Medium,60,Night,Medium
Drizzle,5.376,Urban,Daylight,High,100,Evening,High
Clear,2.184,Intersection,Daylight,Very High,50,Afternoon,Medium
Clear,6.865,Rural,Daylight,Low,40,Morning,Low
Rain,0.4,Intersection,Night-unlit,High,40,Afternoon,High
Clear,6.409,Rural,Night-unlit,High,60,Night,Medium
Clear,0.487,Urban,Night-lit,High,80,Afternoon,High
Clear,5.763,Urban,Daylight,High,30,Evening,Medium
Drizzle,6.999,Rural,Night-unlit,Low,40,Afternoon,Medium
Drizzle,2.947,Highway,Night-unlit,Medium,50,Morning,High
Drizzle,1.431,Intersection,Night-lit,High,60,Morning,High
Drizzle,7.883,Intersection,Night-lit,High,60,Night,High
Clear,5.293,Urban,Night-unlit,High,50,Evening,Medium
Clear,1.66,Urban,Daylight,Low,60,Afternoon,Medium
Clear,3.029,Highway,Daylight,Very High,100,Evening,High
Clear,8.842,Rural,Night-unlit,High,30,Morning,Medium
Rain,4.649,Rural,Night-lit,Medium,60,Evening,Medium
Fog,3.38,Rural,Night-unlit,High,50,Evening,High
Clear,7.607,Rural,Night-lit,High,60,Afternoon,Medium
Clear,5.429,Highway,Daylight,High,60,Night,Medium
Clear,2.52,Urban,Dawn/Dusk,Very High,80,Night,High
Clear,4.683,Urban,Night-lit,Medium,50,Evening,Medium
Drizzle,6.591,Highway,Dawn/Dusk,Low,80,Morning,Medium
Drizzle,7.239,Intersection,Daylight,Medium,80,Morning,Medium
Rain,2.304,Urban,Night-lit,High,60,Morning,High
Fog,6.566,Highway,Night-unlit,Medium,50,Morning,High
Fog,3.846,Rural,Daylight,High,60,Night,High
Clear,5.423,Intersection,Daylight,Medium,50,Night,Medium
Clear,6.457,Urban,Night-lit,Very High,50,Night,High
Storm,8.25,Intersection,Daylight,High,30,Morning,Medium
Storm,8.417,Intersection,Night-lit,High,50,Afternoon,High
Drizzle,4.241,Highway,Daylight,High,80,Afternoon,Medium
Drizzle,3.969,Rural,Night-lit,Medium,50,Evening,Medium
Clear,7.15,Intersection,Night-lit,Very High,30,Morning,Medium
Clear,4.947,Rural,Daylight,High,40,Night,Medium
Clear,4.314,Highway,Dawn/Dusk,High,50,Morning,Medium
Rain,5.701,Highway,Daylight,Medium,100,Afternoon,High
Drizzle,8.353,Urban,Night-lit,Medium,60,Evening,Medium
Storm,4.959,Highway,Night-lit,Medium,60,Morning,High
Storm,5.622,Urban,Daylight,Very High,60,Evening,High
Rain,5.745,Highway,Night-unlit,Very High,50,Morning,High
Rain,4.689,Urban,Dawn/Dusk,Low,50,Night,Medium
Clear,5.837,Highway,Dawn/Dusk,High,80,Morning,High
Drizzle,4.853,Urban,Night-lit,Very High,40,Afternoon,Medium
Drizzle,5.744,Rural,Dawn/Dusk,Very High,30,Night,Medium
Drizzle,4.254,Urban,Night-unlit,Medium,60,Evening,High
Clear,5.598,Highway,Dawn/Dusk,Medium,50,Evening,Medium
Drizzle,7.574,Urban,Night-unlit,Very High,80,Morning,High
Drizzle,5.745,Highway,Night-lit,Very High,40,Evening,Medium
Storm,7.068,Urban,Daylight,High,100,Morning,High
Clear,6.526,Highway,Daylight,Very High,50,Afternoon,Medium
Clear,7.287,Rural,Daylight,High,40,Morning,Low
Storm,0.4,Rural,Night-unlit,Low,60,Morning,High
Clear,6.197,Rural,Night-unlit,Low,60,Morning,Medium
Fog,4.731,Highway,Daylight,Medium,80,Evening,High
Clear,8.369,Urban,Night-lit,High,50,Evening,Medium
Clear,3.972,Highway,Daylight,Medium,30,Night,Medium
Clear,6.245,Urban,Daylight,High,40,Night,Medium
Drizzle,5.268,Urban,Daylight,Medium,30,Afternoon,Low
Drizzle,3.551,Rural,Night-lit,Medium,40,Morning,Medium
Fog,7.132,Rural,Night-lit,Medium,30,Morning,Medium
Drizzle,8.456,Rural,Night-unlit,Medium,80,Night,High
Clear,3.804,Rural,Daylight,High,50,Evening,Medium
Drizzle,7.266,Urban,Daylight,Very High,100,Night,High
Clear,1.946,Rural,Dawn/Dusk,Low,50,Evening,Medium
Rain,4.756,Highway,Dawn/Dusk,Very High,80,Evening,High
Drizzle,4.94,Rural,Daylight,High,50,Morning,Medium
Rain,3.61,Rural,Night-unlit,Low,50,Afternoon,Medium
Fog,7.748,Highway,Night-lit,Medium,50,Morning,Medium
Storm,5.598,Rural,Dawn/Dusk,High,50,Morning,Medium
Drizzle,4.567,Rural,Night-lit,Very High,50,Afternoon,Medium
Clear,7.746,Rural,Daylight,Low,80,Evening,Medium
Clear,7.678,Urban,Night-lit,Medium,60,Morning,Medium
Clear,7.662,Intersection,Daylight,High,40,Morning,Medium
Rain,4.405,Rural,Night-unlit,Low,60,Morning,Medium
Drizzle,6.244,Rural,Night-unlit,Low,40,Night,Medium
Clear,5.28,Intersection,Night-lit,Very High,50,Evening,High
Clear,6.279,Urban,Night-unlit,Medium,60,Morning,Medium
Clear,5.195,Intersection,Night-lit,High,100,Afternoon,High
Clear,5.967,Urban,Night-unlit,Medium,50,Morning,Medium
Drizzle,7.653,Urban,Night-lit,Medium,80,Evening,Medium
Drizzle,3.075,Rural,Daylight,Medium,40,Morning,Medium
Drizzle,4.266,Rural,Night-lit,Low,40,Morning,Medium
Fog,5.391,Rural,Dawn/Dusk,Very High,60,Night,High
Clear,4.336,Highway,Night-lit,Very High,60,Afternoon,High
Drizzle,4.226,Highway,Night-lit,Medium,60,Night,Medium
Rain,5.291,Rural,Night-unlit,High,80,Evening,High
Clear,3.329,Urban,Daylight,High,50,Evening,Medium
Rain,7.802,Urban,Daylight,Low,60,Afternoon,Medium
Clear,4.715,Urban,Daylight,Medium,30,Night,Medium
Clear,2.037,Urban,Daylight,High,60,Night,High
Clear,3.64,Urban,Daylight,Low,50,Evening,Low
Rain,6.274,Urban,Daylight,Low,30,Night,Medium
Clear,4.931,Intersection,Daylight,Very High,30,Afternoon,Medium
Rain,5.87,Rural,Night-lit,Very High,100,Night,High
Rain,6.916,Highway,Night-lit,High,80,Afternoon,High
Drizzle,5.608,Urban,Night-unlit,High,60,Morning,High
Clear,3.765,Rural,Night-lit,Very High,40,Night,High
Fog,2.628,Urban,Night-lit,Medium,80,Afternoon,High
Rain,8.515,Intersection,Daylight,Medium,40,Evening,Medium
Drizzle,3.817,Highway,Daylight,Low,100,Evening,Medium
Rain,7.616,Urban,Daylight,Medium,50,Afternoon,Medium
Drizzle,7.611,Highway,Daylight,High,40,Morning,Medium
Drizzle,4.757,Intersection,Daylight,High,30,Evening,Low
Drizzle,4.887,Intersection,Night-unlit,Low,100,Afternoon,High
Clear,4.212,Intersection,Daylight,Low,60,Evening,Medium
Clear,9.637,Urban,Night-unlit,Very High,80,Evening,High
Rain,6.218,Urban,Night-lit,High,100,Night,High
Rain,6.472,Urban,Night-lit,High,40,Morning,Medium
Rain,6.748,Intersection,Night-unlit,Low,100,Evening,High
Rain,6.716,Rural,Daylight,Medium,60,Night,Medium
Fog,6.202,Intersection,Night-lit,Medium,50,Evening,High
Fog,4.114,Urban,Night-lit,Medium,60,Evening,High
Rain,4.028,Highway,Daylight,Low,60,Evening,Medium
Drizzle,2.219,Urban,Night-unlit,High,40,Morning,High
Clear,3.962,Rural,Daylight,Very High,50,Afternoon,Medium
Clear,8.989,Urban,Daylight,Low,80,Evening,Medium
Clear,0.997,Highway,Night-unlit,High,60,Morning,High
Drizzle,5.758,Urban,Dawn/Dusk,Low,50,Afternoon,Medium
Drizzle,8.779,Highway,Daylight,Medium,60,Morning,Medium
Rain,3.408,Urban,Night-unlit,Low,30,Night,Medium
Drizzle,3.853,Urban,Night-lit,Medium,60,Morning,High
Drizzle,1.765,Urban,Daylight,Very High,100,Morning,High
Storm,5.563,Rural,Daylight,Low,40,Evening,Medium
Drizzle,3.965,Highway,Night-lit,High,60,Afternoon,Medium
Clear,3.648,Highway,Daylight,Medium,30,Afternoon,Medium
Rain,5.292,Urban,Daylight,Low,30,Morning,Low
Clear,8.035,Highway,Dawn/Dusk,Medium,50,Morning,Medium
Storm,6.448,Rural,Night-unlit,Medium,40,Evening,High
Clear,4.278,Highway,Dawn/Dusk,Medium,40,Afternoon,Medium
Drizzle,3.484,Urban,Daylight,Medium,30,Night,Medium
Drizzle,5.568,Intersection,Daylight,Very High,60,Afternoon,Medium
Clear,4.706,Intersection,Daylight,Very High,80,Morning,High
Storm,0.953,Highway,Dawn/Dusk,Low,40,Night,High
Clear,7.663,Urban,Night-lit,High,60,Morning,Medium
Rain,3.603,Urban,Dawn/Dusk,Very High,80,Afternoon,High
Clear,1.807,Urban,Daylight,Very High,60,Evening,High
Rain,4.476,Rural,Night-lit,Very High,100,Morning,High
Drizzle,4.947,Urban,Night-unlit,Low,60,Evening,Medium
Fog,5.737,Highway,Daylight,Medium,50,Morning,Medium
Fog,7.499,Urban,Night-lit,High,50,Morning,High
Fog,5.375,Urban,Daylight,Medium,60,Afternoon,Medium
Rain,2.183,Intersection,Night-unlit,High,80,Morning,High
Drizzle,3.54,Rural,Dawn/Dusk,High,100,Morning,High
Rain,4.315,Highway,Daylight,Low,100,Afternoon,Medium
Fog,4.241,Intersection,Daylight,Very High,30,Afternoon,High
Clear,5.084,Intersection,Dawn/Dusk,High,60,Night,High
Clear,6.05,Urban,Night-unlit,Medium,40,Night,Medium
Drizzle,9.843,Intersection,Daylight,Low,80,Night,Medium
Drizzle,5.72,Urban,Night-unlit,High,40,Night,High
Clear,10.0,Highway,Dawn/Dusk,Very High,100,Night,High
Clear,5.973,Intersection,Night-lit,High,60,Morning,Medium
Clear,4.343,Intersection,Night-unlit,High,80,Afternoon,Medium
Drizzle,5.475,Intersection,Daylight,Very High,60,Afternoon,Medium
Drizzle,3.274,Rural,Night-unlit,Medium,60,Morning,Medium
Drizzle,4.349,Urban,Night-lit,Medium,100,Night,High
Fog,7.487,Urban,Dawn/Dusk,High,60,Evening,High
Rain,4.823,Urban,Daylight,High,40,Evening,Medium
Rain,3.948,Intersection,Night-lit,Low,80,Evening,High
Clear,7.913,Rural,Night-unlit,Low,100,Night,Medium
Rain,5.867,Highway,Daylight,Medium,50,Evening,Medium
Clear,6.321,Highway,Night-unlit,Low,40,Afternoon,Medium
Clear,1.136,Urban,Dawn/Dusk,Very High,60,Afternoon,High
Storm,7.719,Rural,Dawn/Dusk,High,60,Evening,High
Drizzle,5.101,Highway,Dawn/Dusk,Medium,50,Night,High
Clear,5.879,Urban,Dawn/Dusk,Low,50,Morning,Medium
Rain,7.161,Rural,Daylight,Medium,40,Afternoon,Low
Drizzle,2.114,Intersection,Daylight,High,60,Morning,High
Clear,6.55,Urban,Night-unlit,Low,40,Night,Medium
Storm,4.708,Urban,Night-lit,Low,40,Night,High
Rain,7.218,Highway,Night-lit,Low,50,Evening,Medium
Clear,9.519,Urban,Daylight,High,80,Morning,Medium
Storm,8.94,Intersection,Night-unlit,Very High,40,Afternoon,Medium
Clear,3.091,Rural,Night-lit,Medium,30,Morning,Medium
Drizzle,9.807,Rural,Dawn/Dusk,High,100,Afternoon,High
Clear,8.544,Urban,Night-unlit,High,40,Night,Medium
Drizzle,3.301,Intersection,Dawn/Dusk,High,50,Afternoon,Medium
Drizzle,3.985,Rural,Daylight,Low,50,Morning,Low
Drizzle,4.276,Urban,Night-unlit,Medium,40,Morning,High
Drizzle,5.322,Highway,Night-lit,High,60,Afternoon,Medium
Fog,4.559,Urban,Dawn/Dusk,Medium,30,Night,Medium
Rain,6.565,Urban,Night-unlit,Medium,80,Evening,High
Clear,6.201,Highway,Dawn/Dusk,Very High,30,Night,Medium
Drizzle,4.197,Urban,Daylight,Medium,60,Afternoon,Low
Clear,7.208,Rural,Dawn/Dusk,High,80,Morning,Medium
Storm,3.169,Rural,Daylight,High,60,Night,High
Rain,4.892,Rural,Daylight,High,30,Morning,Medium
Drizzle,0.4,Urban,Daylight,Medium,80,Afternoon,High
Drizzle,3.812,Highway,Night-lit,High,50,Afternoon,High
Drizzle,7.824,Urban,Dawn/Dusk,Medium,80,Night,High
Clear,5.001,Rural,Night-unlit,Very High,60,Evening,High
Clear,3.665,Highway,Daylight,Medium,60,Evening,Medium
Rain,6.208,Urban,Daylight,Low,50,Morning,Medium
Fog,2.469,Urban,Night-unlit,Very High,40,Afternoon,High
Clear,3.66,Rural,Night-unlit,Medium,50,Afternoon,Medium
Clear,6.754,Intersection,Daylight,Low,80,Afternoon,Low
Fog,7.843,Urban,Dawn/Dusk,Low,80,Morning,High
Fog,5.208,Urban,Dawn/Dusk,High,80,Night,High
Clear,5.335,Urban,Dawn/Dusk,High,30,Morning,Medium
Clear,3.128,Urban,Daylight,Very High,50,Evening,Medium
Fog,8.763,Highway,Daylight,High,80,Morning,High
Storm,2.838,Urban,Night-unlit,High,60,Night,High
Fog,3.886,Rural,Daylight,Low,50,Morning,Medium
Drizzle,4.477,Urban,Dawn/Dusk,Medium,60,Evening,Medium
Drizzle,3.225,Urban,Night-lit,Medium,50,Afternoon,Medium
Rain,3.53,Urban,Daylight,Medium,80,Evening,Medium
Clear,7.272,Urban,Night-unlit,High,30,Night,Medium
Clear,9.344,Highway,Daylight,High,60,Night,Medium
Drizzle,5.55,Intersection,Dawn/Dusk,High,60,Night,High
Clear,6.81,Urban,Night-unlit,Low,40,Evening,Medium
Clear,2.561,Rural,Daylight,Medium,60,Evening,Medium
Clear,3.375,Highway,Daylight,Medium,50,Afternoon,Low
Drizzle,6.387,Urban,Night-lit,High,60,Afternoon,Medium
Clear,3.309,Highway,Night-unlit,Medium,60,Evening,High
Clear,2.864,Urban,Daylight,Medium,60,Night,Medium
Rain,5.787,Rural,Night-unlit,Low,30,Night,Medium
Rain,5.812,Urban,Night-lit,Low,80,Evening,High
Clear,3.992,Urban,Daylight,Low,50,Afternoon,Low
Clear,5.741,Highway,Night-lit,Low,40,Evening,Medium
Rain,5.788,Urban,Night-lit,Very High,60,Night,High
Storm,6.646,Urban,Night-lit,Medium,50,Morning,High
Rain,5.744,Urban,Night-unlit,Medium,50,Night,High
Clear,4.651,Urban,Daylight,High,40,Night,Medium
Clear,8.746,Rural,Daylight,High,40,Morning,Low
Clear,3.75,Highway,Night-unlit,Low,80,Morning,High
Clear,6.371,Highway,Daylight,Medium,40,Afternoon,Low
Drizzle,7.611,Highway,Night-lit,Low,100,Morning,Medium
Drizzle,7.427,Urban,Dawn/Dusk,Medium,40,Night,Medium
Rain,4.313,Urban,Night-unlit,Low,50,Afternoon,Low
Rain,3.304,Highway,Night-unlit,Low,100,Morning,High
Clear,4.622,Urban,Night-lit,High,80,Evening,High
Clear,7.18,Urban,Night-lit,Medium,50,Morning,Medium
Drizzle,6.782,Urban,Daylight,Medium,60,Morning,Medium
Drizzle,4.698,Rural,Night-lit,Medium,60,Morning,Medium
Rain,2.325,Intersection,Night-unlit,Low,50,Morning,High
Drizzle,3.925,Highway,Daylight,Very High,30,Morning,Medium
Rain,8.99,Rural,Dawn/Dusk,High,60,Evening,High
Clear,7.354,Urban,Night-unlit,Very High,100,Morning,High
Fog,4.7,Urban,Daylight,Medium,100,Evening,High
Clear,4.514,Urban,Dawn/Dusk,Very High,40,Morning,Medium
Clear,3.523,Intersection,Night-unlit,Medium,50,Night,Medium
Drizzle,5.267,Intersection,Daylight,High,60,Morning,Medium
Clear,7.682,Rural,Daylight,Very High,50,Evening,Medium
Fog,5.713,Urban,Night-lit,Medium,60,Evening,Medium
Clear,3.605,Intersection,Night-unlit,High,40,Morning,High
Rain,4.129,Intersection,Night-lit,Medium,30,Afternoon,Medium
Rain,6.3,Highway,Night-unlit,Very High,40,Morning,High
Drizzle,3.001,Intersection,Daylight,Very High,50,Evening,High
Rain,4.459,Intersection,Dawn/Dusk,Low,40,Afternoon,Medium
Rain,5.231,Rural,Daylight,Low,50,Morning,Medium
Drizzle,3.974,Highway,Night-lit,Very High,50,Night,High
Clear,5.815,Rural,Daylight,Low,80,Evening,Medium
Drizzle,2.555,Intersection,Night-lit,High,60,Evening,High
Rain,5.353,Urban,Night-unlit,Very High,40,Evening,High
Drizzle,7.601,Urban,Daylight,High,80,Morning,Medium
Clear,6.526,Urban,Dawn/Dusk,Medium,80,Night,Medium
Rain,7.862,Highway,Dawn/Dusk,Very High,30,Morning,High
Clear,4.52,Highway,Night-unlit,Low,60,Evening,Medium
Clear,7.286,Intersection,Dawn/Dusk,High,60,Afternoon,Medium
Drizzle,5.734,Rural,Night-unlit,High,50,Night,High
Clear,3.84,Urban,Night-lit,High,50,Morning,Medium
Clear,2.749,Highway,Night-unlit,Very High,40,Afternoon,High
